Name,Use,Maxxed,Misreads,OffAnimal,Notes
Annett_Bettong,Unsure,Yes,,,Strangely repetitive maxxed sections
Neis_Cow,Unsure,Yes,,,Very maxxed out
Pagano_Bear,Unsure,Yes,,,Very maxxed out
Sparkes_Koala,Unsure,Yes,,,Maxxed out often
Vehkaoja_Dog,Unsure,Yes,,,Lots of maxxing out
Williams_Squirrel,Edit,Yes,Yes,,Long section of maxxing out and then back to normal - just crop out
Annett_Glider,Yes,,,,
Annett_Kangaroo,Yes,,,,
Annett_Possum,Yes,,,,Strangely repetitive
Annett_Wallaby,Yes,,,,
Buchmann_Camel,Yes,,,,
Buchmann_Cow,Yes,,,,
Buchmann_Donkey,Yes,,,,
Buchmann_Goat,Yes,,,,
Buchmann_Horse,Yes,,,,
Buchmann_Mule,Yes,,,,
Buchmann_Pig,Yes,,,,
Buchmann_Sheep,Yes,,,,
Chakravarty_Meerkat,Unsure,,,,Essentially no flat spots
Clemente_Echidna,Yes,,,,
Clemente_Impala,Yes,,,,
Clemente_Kudu,Edit,,,Yes,Need to crop off where it fell off the kudu
Dickinson_Goat,Edit,,Yes,,Need to remove the random outliers
Dickinson_Ibex,Edit,,Yes,,Need to remove the random outliers
Dissanayake_Calf,Yes,,,,
Dunford_Cat,Yes,,,,
Galea_Cat,Yes,,,,
Gaschk_Quoll,Edit,,,Yes,Crop flat spot
Harris_Sheep,Yes,,,,
HarveyCaroll_Pangolin,Edit,,Yes,,Need to remove the random outliers
Mauny_Goat,Yes,,,,
Minasandra_Hyena,Yes,,,,
Rautiainen_Reindeer,Edit,,Yes,,Need to remove the random outliers
Smit_Cat,Yes,,,,
Studd_Lynx,Yes,,,,
Studd_Squirrel,Yes,,,,
