ID,Mass (kg),LogMass
16,13,4.11
18,29,4.46
19,30,4.48
20,15,4.18
21,39,4.59
22,35,4.54
23,23,4.36
25,26,4.41
26,20,4.3
27,16,4.2
28,28,4.45
29,13,4.11
30,17,4.23
33,23,4.36
34,18,4.26
36,20,4.3
39,15,4.18
41,25,4.4
43,14,4.15
44,19,4.28
45,22,4.34
46,20,4.3
47,22,4.34
48,30,4.48
49,25,4.4
51,25,4.4
52,25,4.4
53,35,4.54
54,18,4.26
55,25,4.4
56,20,4.3
57,28,4.45
58,28,4.45
59,16,4.2
60,31,4.49
61,41,4.61
63,37,4.57
65,20,4.3
66,23,4.36
67,28,4.45
68,28,4.45
70,20,4.3
72,30,4.48
73,23,4.36
74,32,4.51
